"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Jacinto Machado","SC","10457.00","5059.00","Não","","","","","","",""
"Jacobina","BA","80394.00","56677.00","Sim","27440.00","1073.00","362.00","428.00","142.00","101.00","40.00"
"Jacuí","MG","7681.00","4679.00","Não","","140.50","52.10","34.80","34.60","19.00","0.00"
"Jacuizinho","RS","2679.00","601.00","Não","","","","","","",""
"Jacundá","PA","58457.00","51996.00","Não","","","","","","",""
"Jacutinga","MG","25684.00","21515.00","Sim","10755.00","631.50","378.90","94.70","119.90","38.00","0.00"
"Jacutinga","RS","3576.00","2533.00","Não","","","","","","",""
"Jaguapitã","PR","13494.00","11457.00","Sim","11457.00","362.00","114.00","101.00","98.00","27.00","22.00"
"Jaguaquara","BA","54163.00","41251.00","Não","","40.00","","","","",""
"Jaguaraçu","MG","3124.00","2234.00","Não","","64.40","21.80","25.00","4.60","13.00","0.00"
"Jaguarão","RS","26869.00","25112.00","Sim","13000.00","272.00","30.00","16.00","40.00","96.00","90.00"
"Jaguaré","ES","29904.00","18217.00","Sim","18217.00","69.80","54.20","7.00","2.80","3.30","2.50"
"Jaguari","RS","10937.00","6226.00","Sim","6226.00","300.00","","","","",""
"Jaguaribara","CE","11359.00","7878.00","Não","","","","","","",""
"Jaguaribe","CE","34729.00","23484.00","Não","","","","","","",""
"Jaguariúna","SP","56221.00","54599.00","Sim","43033.00","791.40","411.70","158.00","63.30","150.40","8.00"
"Jaguaruana","CE","33967.00","20163.00","Não","","","","","","",""
"Jaguaruna","SC","19755.00","15080.00","Sim","","","","","","",""
"Jaíba","MG","38413.00","20169.00","Sim","5000.00","400.00","","","","",""
"Jaicós","PI","19035.00","8980.00","Não","","","","","","",""
"Jales","SP","49011.00","46120.00","Sim","45000.00","572.90","405.80","63.20","67.70","36.20","0.00"
"Jambeiro","SP","6485.00","3105.00","Não","","1.00","","","","",""
"Janaúba","MG","71265.00","64616.00","Sim","45231.00","144.00","","","","",""
"Jandaia","GO","6073.00","4093.00","Não","","","","","","",""
"Jandaia do Sul","PR","21122.00","19102.00","Sim","19102.00","420.00","85.00","140.00","150.00","25.00","20.00"
"Jandira","SP","123481.00","123481.00","Não","","","","","","",""
"Jangada","MT","8366.00","3202.00","Não","","","","","","",""
"Janiópolis","PR","5400.00","3338.00","Sim","1600.00","145.00","30.00","30.00","30.00","50.00","5.00"
"Januária","MG","67628.00","42689.00","Não","","","","","","",""
"Japaraíba","MG","4314.00","2793.00","Não","","70.00","28.00","12.00","5.00","0.00","25.00"
"Japaratuba","SE","18576.00","8705.00","Não","","","","","","",""
"Japeri","RJ","103960.00","103960.00","Sim","5200.00","176.00","82.70","35.20","44.00","0.00","14.10"
"Japonvar","MG","8556.00","3145.00","Não","","","","","","",""
"Japorã","MS","8976.00","1625.00","Não","","","","","","",""
"Japurá","PR","9349.00","8332.00","Sim","8100.00","270.00","90.00","50.00","60.00","45.00","25.00"
"Jaraguá","GO","49667.00","41907.00","Não","","","","","","",""
"Jaraguá do Sul","SC","174158.00","161597.00","Sim","161597.00","4164.70","","","","",""
"Jaraguari","MS","7108.00","2002.00","Não","","4.50","1.00","0.50","2.00","0.50","0.50"
"Jaramataia","AL","5597.00","2933.00","Não","","","","","","",""
"Jardim","MS","25967.00","24255.00","Sim","10000.00","35.00","23.00","8.00","3.00","1.00","0.00"
"Jardim de Angicos","RN","2617.00","435.00","Não","","","","","","",""
"Jardim de Piranhas","RN","14730.00","11556.00","Não","","","","","","",""
"Jardim do Seridó","RN","12395.00","10064.00","Não","","","","","","",""
"Jardim Olinda","PR","1343.00","954.00","Não","","","","","","",""
"Jardinópolis","SC","1595.00","722.00","Sim","722.00","26.10","11.00","8.60","4.00","2.00","0.50"
"Jardinópolis","SP","43774.00","42007.00","Não","","","","","","",""
"Jari","RS","3518.00","603.00","Sim","603.00","68.00","","","","",""
"Jarinu","SP","29456.00","22764.00","Não","","","","","","",""
"Jaru","RO","51933.00","35069.00","Não","","","","","","",""
"Jataí","GO","99674.00","91750.00","Sim","35744.00","180.00","","","","",""
"Jataizinho","PR","12536.00","11668.00","Não","","200.00","50.00","50.00","50.00","50.00","0.00"
"Jateí","MS","4034.00","1882.00","Não","","","","","","",""
"Jati","CE","7902.00","4631.00","Não","","","","","","",""
"Jatobá","MA","9993.00","4384.00","Não","","","","","","",""
"Jaú do Tocantins","TO","3819.00","1427.00","Não","","","","","","",""
"Jauru","MT","9006.00","5316.00","Não","","","","","","",""
"Jeceaba","MG","4973.00","2754.00","Sim","2754.00","169.50","71.80","64.40","10.10","23.20","0.00"
"Jequeri","MG","12460.00","7073.00","Não","","","","","","",""
"Jequiá da Praia","AL","11624.00","2782.00","Não","","","","","","",""
"Jequitibá","MG","5215.00","1985.00","Não","","","","","","",""
"Jequitinhonha","MG","25305.00","17891.00","Sim","17891.00","160.00","90.00","20.00","15.00","8.00","27.00"
"Jericó","PB","7732.00","4851.00","Não","","","","","","",""
"Jerônimo Monteiro","ES","11744.00","9214.00","Não","","","","","","",""
"Jerumenha","PI","4457.00","2507.00","Não","","","","","","",""
"Jesuânia","MG","4795.00","3112.00","Não","","","","","","",""
"Jesúpolis","GO","2474.00","1973.00","Não","","","","","","",""
"Ji-Paraná","RO","127907.00","115016.00","Não","","","","","","",""
"Jiquiriçá","BA","14516.00","5738.00","Não","","","","","","",""
"Joaçaba","SC","29827.00","27513.00","Sim","27513.00","5000.00","1000.00","3000.00","1000.00","0.00","0.00"
"Joaíma","MG","15410.00","10595.00","Não","","","","","","",""
"João Câmara","RN","34747.00","24429.00","Não","","10.00","","","","",""
"João Costa","PI","3010.00","713.00","Não","","","","","","",""
"João Dias","RN","2655.00","1190.00","Não","","","","","","",""
"João Dourado","BA","24964.00","15022.00","Não","","","","","","",""
"João Lisboa","MA","23696.00","17830.00","Não","","","","","","",""
"João Pessoa","PB","800323.00","797303.00","Sim","216010.00","13740.00","","","","",""
"João Pinheiro","MG","48561.00","39442.00","Sim","4862.00","28.00","","","","",""
"João Ramalho","SP","4495.00","3838.00","Não","","","","","","",""
"Joaquim Távora","PR","11803.00","9037.00","Sim","9010.00","500.00","100.00","300.00","70.00","30.00","0.00"
"Jóia","RS","8554.00","2145.00","Não","","","","","","",""
"Joinville","SC","583144.00","563410.00","Sim","563410.00","5532.00","2241.60","1138.50","479.50","1656.40","16.00"
"José Boiteux","SC","4985.00","1701.00","Sim","1701.00","5.00","1.00","1.00","1.00","1.00","1.00"
"José da Penha","RN","5957.00","3596.00","Sim","","0.00","0.00","0.00","0.00","0.00","0.00"
