"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","TOT_COLETADO","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Montezuma","MG","8,180.00","3,374.00","","Não","","","","","","",""
"Morada Nova de Minas","MG","8,815.00","6,895.00","","Não","","","","","","",""
"Moreilândia","PE","11,270.00","6,923.00","","Não","","","","","","",""
"Moreira Sales","PR","12,201.00","9,614.00","270.00","Sim","","","112.00","10.00","42.00","23.00","83.00"
"Moreno","PE","62,263.00","55,126.00","","Não","","","","","","",""
"Morrinhos","CE","22,354.00","10,380.00","","Não","","","","","","",""
"Morro Agudo","SP","32,641.00","31,286.00","270.00","Sim","10,000.00","247.00","68.50","39.50","45.00","31.10","62.90"
"Morro Cabeça no Tempo","PI","4,533.00","1,564.00","","Não","","","","","","",""
"Morro da Fumaça","SC","17,642.00","15,166.00","97.00","Sim","11,500.00","88.00","","","","",""
"Morro do Chapéu do Piauí","PI","6,781.00","2,398.00","","Não","","","","","","",""
"Morro do Pilar","MG","3,211.00","2,438.00","","Não","","","","","","",""
"Morro Grande","SC","2,898.00","758.00","","Não","","","","","","",""
"Morro Redondo","RS","6,546.00","2,784.00","400.00","Sim","2,768.00","204.40","80.30","124.10","0.00","0.00","0.00"
"Morro Reuter","RS","6,344.00","5,411.00","","Não","","180.00","","","","",""
"Morungaba","SP","13,458.00","11,493.00","487.00","Sim","10,344.00","379.00","111.00","42.00","27.00","107.00","92.00"
"Mossâmedes","GO","4,377.00","2,863.00","180.00","Sim","2,000.00","18.00","4.00","4.00","5.00","2.00","3.00"
"Mossoró","RN","294,076.00","268,525.00","700.00","Sim","","692.70","393.80","160.40","71.40","66.80","0.30"
"Mostardas","RS","12,760.00","8,570.00","","Não","","","","","","",""
"Motuca","SP","4,720.00","3,420.00","60.00","Sim","","58.00","25.00","16.00","16.00","0.00","1.00"
"Mozarlândia","GO","15,444.00","14,012.00","","Não","","","","","","",""
"Mucuri","BA","41,221.00","31,456.00","","Não","","","","","","",""
"Muitos Capões","RS","3,151.00","1,023.00","","Não","","1.00","0.20","0.20","0.20","0.20","0.20"
"Muliterno","RS","1,888.00","529.00","185.00","Sim","529.00","35.00","5.00","5.00","5.00","5.00","15.00"
"Mulungu","CE","12,892.00","4,712.00","","Não","","","","","","",""
"Mulungu do Morro","BA","11,114.00","5,371.00","","Não","","","","","","",""
"Mundo Novo","GO","5,066.00","2,964.00","","Não","","","","","","",""
"Munhoz","MG","6,065.00","3,217.00","","Não","","","","","","",""
"Munhoz de Melo","PR","3,958.00","3,206.00","237.60","Sim","3,206.00","228.50","44.40","15.60","24.00","19.20","125.30"
"Muqui","ES","15,370.00","9,939.00","50.00","Sim","2,000.00","49.00","45.00","2.30","1.00","0.00","0.70"
"Muriaé","MG","108,113.00","100,023.00","590.00","Sim","35,000.00","387.70","173.10","160.20","53.80","0.30","0.30"
"Muribeca","SE","7,610.00","3,407.00","","Não","","","","","","",""
"Murici dos Portelas","PI","9,105.00","1,817.00","","Não","","","","","","",""
"Muricilândia","TO","3,514.00","2,007.00","","Não","","","","","","",""
"Murutinga do Sul","SP","4,466.00","2,745.00","10.00","Sim","","1.00","0.00","0.00","0.00","0.00","1.00"
"Mutuípe","BA","22,156.00","9,977.00","","Não","","","","","","",""
"Mutum","MG","26,997.00","13,964.00","","Não","","","","","","",""
